Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C15, C22, C24",C_0402,5,1uF,C14445
"C10, C8, C9",C_0402,3,30pF,C107004
"C11, C13",0603,2,22uF,C29519229
C12,0603,1,10uF,C96446
C16,0603,1,10uF,C19702
"C17, C18, C19, C20, C21, C23, C25, C26",C_0402,8,0.1uF,C71687
C2,0603,1,10 uF,C96446
C27,CAP_EEF_CX_PAN,1,EEF-CX0D221R,C165968
C3,C_0402,1,0.1 uF,C56392
"C31, C32, C33",C_0402,3,100nF,C71687
C4,C_0402,1,1 uF,C52923
"C5, C7",C_0402,2,0.1 uF,C71687
C6,C_0402,1,47 nF,C285062
"D1, D2, D4",0603,3,green,C12624
D3,0603,1,red,C2286
D5,VS12VBA1HST15R,1,VS12VBA1HST15R,C3711499
F1,FUSE_SMDF050-2,1,Fuse,C135370
FB1,L_0603,1,330R,C113010
J21,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_14P,C2927038
L1,L_Coilcraft_XxL4020,1,1u,C5357696
Q1,SOT-23,1,NCE3407,C113770
"R1, R28, R29",R_0402,3,5.1k,C25905
"R10, R7, R9",R_0402,3,100k,C25530
R11,R_0402,1,200k,C25764
R12,R_0402,1,470,C25117
"R13, R16",R_0402,2,100,C25076
R14,R_0402,1,76.8k,C26987
R15,R_0402,1,520,C25123
"R17, R18, R19, R20",R_0402,4,10k,C60489
"R2, R3, R4",R_0402,3,1000 Ohm,C11702
R24,R_0603,1,120,C25079
"R25, R26",R_0402,2,40k,C25783
R27,R_0402,1,33k,C25779
R30,R_0402,1,82k,C4142
R5,R_0402,1,22,C25092
"R6, R8",R_0402,2,10k,C25531
S1,EVQPLHA15_pushbutton,1,EVQ-PLHA15,C79172
U1,RGF0040E-IPC_A,1,DRV8316RQRGFRQ1,C5218859
U2,TPS62903RPJRRPJ0009A,1,TPS62903RPJR,C2866502
U3,SOT-23-5,1,AP2112K-3.3,C51118
U4,LQFP-64_10x10mm_P0.5mm,1,STM32G473RCTx, C529361
U5,SOT-23-8_Handsoldering,1,TCAN3403,C35926232
U6,SOT-23-6,1,USBLC6-2SC6,C7519
Y1,X1G004481009712_EPS,1,SG-7050CAN,C70513
