Designator,Mid X,Mid Y,Rotation,Layer
C1,64.3,27.6,180.0,top
C10,42.2,19.9,45.0,top
C11,59.6,18.5,90.0,top
C12,31.775,29.85,90.0,top
C13,34.575,31.75,180.0,top
C14,43.6,30.0,270.0,top
C15,50.2,31.4,270.0,top
C16,48.255061,8.0,225.0,top
C17,47.255061,8.75,225.0,top
C18,36.805061,3.4,135.0,top
C19,31.005061,12.25,90.0,top
C2,65.4,16.425,180.0,top
C20,40.3,19.0,225.0,top
C21,49.605061,4.5,90.0,top
C22,30.5,15.28428,225.0,top
C23,31.25,14.53428,225.0,top
C24,32.696447,16.01572,45.0,top
C25,31.946447,16.76572,45.0,top
C26,45.8,15.4,315.0,top
C28,17.3,21.3,180.0,top
C29,63.0301,12.4,180.0,top
C3,65.4,17.625,180.0,top
C32,46.9,3.6,90.0,top
C33,12.0,5.3,270.0,top
C34,24.4,13.3,270.0,top
C4,65.4,18.425,180.0,top
C5,57.3,23.2,90.0,top
C6,63.5,18.1,0.0,top
C7,56.3,23.2,90.0,top
C8,44.0,18.1,45.0,top
C9,43.1,19.0,45.0,top
D1,42.3125,27.2,180.0,top
D2,45.4,27.2,0.0,top
D3,66.6,30.6125,90.0,top
D4,17.1,12.2,180.0,top
D5,10.0,21.7,90.0,top
F1,12.43,28.53,0.0,top
FB1,30.255061,16.75,225.0,top
J21,21.9,2.71,0.0,top
L1,39.075,30.35,90.0,top
Q1,19.8,28.1,180.0,top
R1,65.33,30.7325,270.0,top
R10,45.6,24.0,0.0,top
R11,42.4,30.0,270.0,top
R12,48.0,27.2,180.0,top
R13,34.0,27.5,270.0,top
R14,35.2,27.5,270.0,top
R15,66.0,32.8125,0.0,top
R16,16.2,14.1,270.0,top
R17,18.6,14.6,180.0,top
R18,51.2,28.8,0.0,top
R19,49.7,12.1,180.0,top
R2,45.7,20.1,45.0,top
R20,49.7,11.3,0.0,top
R21,33.5,24.1,135.0,top
R22,32.4,22.9,135.0,top
R23,31.2,21.7,135.0,top
R24,5.2,5.2,90.0,top
R25,38.9,1.1,0.0,top
R26,38.9,2.0,0.0,top
R27,30.6,1.8,0.0,top
R28,19.8,8.4,0.0,top
R29,24.0,8.4,180.0,top
R3,45.1,20.7,45.0,top
R30,33.3,1.8,0.0,top
R4,44.5,21.3,45.0,top
R5,61.7,18.1,0.0,top
R6,49.7,13.8,0.0,top
R7,47.1,20.1,45.0,top
R8,41.4,23.9,225.0,top
R9,45.6,23.2,0.0,top
S1,11.075,12.0,0.0,top
U1,63.6,23.05,90.0,top
U2,34.575,29.95,180.0,top
U3,47.2,30.5,180.0,top
U4,39.255061,11.25,135.0,top
U5,8.8,5.3,0.0,top
U6,21.91,11.1,270.0,top
Y1,53.765861,4.5,180.0,top
